Program Number,Program Name,Fiscal Year,Agency,CFDA Obligations,USASpending Obligations,Delta,Percent under/over reported
14.167,"Mortgage Insurance_Two Year Operating Loss Loans, Section 223(d)",2009,Department of Housing and Urban Development,12000000.00,,-12000000.00,-1.00
14.172,Mortgage Insurance_Growing Equity Mortgages,2009,Department of Housing and Urban Development,0.00,,0.00,0.00
14.175,Adjustable Rate Mortgages,2009,Department of Housing and Urban Development,0.00,,0.00,0.00
14.183,Home Equity Conversion Mortgages,2009,Department of Housing and Urban Development,0.00,,0.00,0.00
14.184,Mortgages Insurance for Single Room Occupancy (SRO) Projects,2009,Department of Housing and Urban Development,0.00,,0.00,0.00
14.188,Housing Finance Agencies (HFA) Risk Sharing,2009,Department of Housing and Urban Development,180000000.00,,-180000000.00,-1.00
14.189,Qualified Participating Entities (QPE) Risk Sharing,2009,Department of Housing and Urban Development,5000000.00,,-5000000.00,-1.00
14.248,Community Development Block Grants_Section 108 Loan Guarantees,2009,Department of Housing and Urban Development,275000000.00,,-275000000.00,-1.00
14.865,Public and Indian Housing_Indian Loan Guarantee Program,2009,Department of Housing and Urban Development,420000000.00,,-420000000.00,-1.00
14.869,Title VI Federal Guarantees for Financing Tribal Housing Activities,2009,Department of Housing and Urban Development,17000000.00,,-17000000.00,-1.00
14.874,Loan Guarantees for Native Hawaiian Housing ,2009,Department of Housing and Urban Development,14111848.00,,-14111848.00,-1.00
15.124,Indian Loans_Economic Development,2009,Department of the Interior,84172203.00,0.00,-84172203.00,-1.00
20.802,Federal Ship Financing Guarantees,2009,Department of Transportation,3531000.00,,-3531000.00,-1.00
59.012,7(a) Loan Guarantees,2009,Small Business Administraton,17548027000.00,6474028385.00,-11073998615.00,-0.63
59.041,504 Certified Development Loans,2009,Small Business Administraton,7518041000.00,2511475169.00,-5006565831.00,-0.67
59.054,7(a)Export Loan Guarantees,2009,Small Business Administraton,6430000.00,,-6430000.00,-1.00
64.114,Veterans Housing_Guaranteed and Insured Loans,2009,Department of Veterans Affairs,35816558000.00,,-35816558000.00,-1.00
64.119,Veterans Housing_Manufactured Home Loans,2009,Department of Veterans Affairs,0.00,,0.00,0.00
84.032,Federal Family Education Loans,2009,Department of Education,76845000000.00,,-76845000000.00,-1.00
17.151,Employee Benefits Security Administration (EBSA),2009,Department of Labor,2004535.00,,-2004535.00,-1.00
20.803,Maritime War Risk Insurance,2009,Department of Transportation,46000000.00,,-46000000.00,-1.00
45.201,Arts and Artifacts Indemnity,2009,National Endowment for the Arts,0.00,,0.00,0.00
59.016,Surety Bond Guarantees,2009,Small Business Administraton,1010094000.00,,-1010094000.00,-1.00
97.022,Flood Insurance,2009,Department of Homeland Security,145680052.00,0.00,-145680052.00,-1.00
