Program Number,Program Name,Fiscal Year,Agency,CFDA Obligations,USASpending Obligations,Delta,Percent under/over reported
15.638,Tribal Landowner Incentive Program,2007,Department of the Interior,2366690.00,,-2366690.00,-1.00
15.508,Providing Water to At-Risk Natural Desert Terminal Lakes,2007,Department of the Interior,7000000.00,44000000.00,37000000.00,5.29
15.509,Colorado River Basin Salinity Control Program,2007,Department of the Interior,16408500.00,9810924.00,-6597576.00,-0.40
15.510,Colorado Ute Indian Water Rights Settlement Act,2007,Department of the Interior,57420000.00,,-57420000.00,-1.00
15.511,Cultural Resources Management,2007,Department of the Interior,899669.00,934016.00,34347.00,0.04
15.512,"Central Valley Project Improvement Act, Title XXXIV",2007,Department of the Interior,5500000.00,-323817541.00,-329317541.00,-59.88
15.513,Dutch John Federal Property and Disposition  Assistance Act,2007,Department of the Interior,367763.00,367763.00,0.00,0.00
15.514,Reclamation States Emergency Drought Relief,2007,Department of the Interior,475000.00,1928.00,-473072.00,-1.00
15.515,Federal Resource Protection ,2007,Department of the Interior,628843.00,871247.00,242404.00,0.39
15.516,Fort Peck Reservation Rural Water System ,2007,Department of the Interior,5000000.00,4080000.00,-920000.00,-0.18
15.517,Fish and Wildlife Coordination Act,2007,Department of the Interior,12323628.00,16075941.00,3752313.00,0.30
15.518,Garrison Diversion Unit,2007,Department of the Interior,24221000.00,1734137.00,-22486863.00,-0.93
15.519,"Indian Tribal Water Resources Development, Management, and Protection",2007,Department of the Interior,3829061.00,3419061.00,-410000.00,-0.11
15.520,Lewis and Clark Rural Water System ,2007,Department of the Interior,21000000.00,,-21000000.00,-1.00
15.521,Lower Rio Grande Valley Water Resources Conservation and Improvement,2007,Department of the Interior,1200000.00,1189559.00,-10441.00,-0.01
15.522,Mni Wiconi Rural Water Supply Project,2007,Department of the Interior,24221000.00,5150000.00,-19071000.00,-0.79
15.523,Perkins County Rural Water System,2007,Department of the Interior,125000.00,,-125000.00,-1.00
15.524,Recreation Resources Management,2007,Department of the Interior,3232789.00,4298289.00,1065500.00,0.33
15.525,Rocky Boy's/North Central Montana Regional Water System ,2007,Department of the Interior,7000000.00,420000.00,-6580000.00,-0.94
15.526,San Gabriel Basin Restoration Project,2007,Department of the Interior,753313.00,2412328.00,1659015.00,2.20
15.527,"San Luis Unit, Central Valley Project",2007,Department of the Interior,3500000.00,405030.00,-3094970.00,-0.88
15.528,St. Mary Storage Unit Facilities Rehabilitation Project,2007,Department of the Interior,452453.00,,-452453.00,-1.00
15.529,Upper Colorado and San Juan River Basins Endangered Fish Recovery Programs,2007,Department of the Interior,11480000.00,1895093.00,-9584907.00,-0.83
15.530,Water Conservation Field Services Program (WCFSP),2007,Department of the Interior,1548998.00,,-1548998.00,-1.00
15.531,Yakima River Basin Water Enhancement Project (YRBWEP),2007,Department of the Interior,9865864.00,16943127.00,7077263.00,0.72
15.532,"Central Valley Project, Trinity River Division, Trinity River  Fish and Wildlife Management",2007,Department of the Interior,1705038.00,380000.00,-1325038.00,-0.78
15.533,California Water Security and Environmental Enhancement,2007,Department of the Interior,1000000.00,1054000.00,54000.00,0.05
15.614,"Coastal Wetlands Planning, Protection and Restoration Act",2007,Department of the Interior,18750000.00,18645144.00,-104856.00,-0.01
15.615,Cooperative Endangered Species Conservation Fund,2007,Department of the Interior,81001000.00,117772895.00,36771895.00,0.45
15.616,Clean Vessel Act,2007,Department of the Interior,12300000.00,15776718.00,3476718.00,0.28
15.619,Rhinoceros and Tiger Conservation Fund,2007,Department of the Interior,1496000.00,542462.00,-953538.00,-0.64
15.620,African Elephant Conservation Fund,2007,Department of the Interior,1299000.00,,-1299000.00,-1.00
15.621,Asian Elephant Conservation Fund,2007,Department of the Interior,1299000.00,476714.00,-822286.00,-0.63
15.622,Sportfishing and Boating Safety Act,2007,Department of the Interior,12200000.00,5549748.00,-6650252.00,-0.55
15.623,North American Wetlands Conservation Fund,2007,Department of the Interior,67079040.00,38073534.00,-29005506.00,-0.43
15.628,Multistate Conservation Grant Program,2007,Department of the Interior,6000000.00,2655816.00,-3344184.00,-0.56
15.629,Great Apes Conservation Fund,2007,Department of the Interior,1279000.00,2791619.00,1512619.00,1.18
15.632,Conservation Grants Private Stewardship for Imperiled Species,2007,Department of the Interior,8930000.00,13745339.00,4815339.00,0.54
15.633,Landowner Incentive Program,2007,Department of the Interior,21301500.00,31350872.00,10049372.00,0.47
15.635,Neotropical Migratory Bird Conservation ,2007,Department of the Interior,3822915.00,1530788.00,-2292127.00,-0.60
15.636,Alaska Subsistence Management,2007,Department of the Interior,6393000.00,3964842.00,-2428158.00,-0.38
15.637,Migratory Bird Joint Ventures,2007,Department of the Interior,4019000.00,3153496.00,-865504.00,-0.22
15.639,Tribal Wildlife Grants Program,2007,Department of the Interior,6000000.00,,-6000000.00,-1.00
15.640,Wildlife Without Borders- Latin America and the Caribbean ,2007,Department of the Interior,691000.00,,-691000.00,-1.00
15.641,Wildlife Without Borders-Mexico ,2007,Department of the Interior,630000.00,57000.00,-573000.00,-0.91
15.642,Challenge Cost Share,2007,Department of the Interior,12000000.00,1211798.00,-10788202.00,-0.90
15.643,Alaska Migratory Bird Co-Management Council,2007,Department of the Interior,222600.00,353800.00,131200.00,0.59
15.645,Marine Turtle Conservation Fund,2007,Department of the Interior,621000.00,50000.00,-571000.00,-0.92
15.647,Migratory  Bird Conservation,2007,Department of the Interior,250500.00,74000.00,-176500.00,-0.70
15.648,Central Valley Project Improvement  (CVPI) Anadromous Fish Restoration Program (AFRP),2007,Department of the Interior,8754544.00,,-8754544.00,-1.00
15.649,Service Training and Technical Assistance (Generic Training),2007,Department of the Interior,156032.00,50000.00,-106032.00,-0.68
15.650,Research Grants (Generic),2007,Department of the Interior,0.00,,0.00,0.00
15.651,Wildlife Without Borders-Africa Program,2007,Department of the Interior,0.00,,0.00,0.00
15.653,National Outreach and Communication Program,2007,Department of the Interior,12000000.00,,-12000000.00,-1.00
15.655,"Migratory Bird Monitoring, Assessment and Conservation",2007,Department of the Interior,2278500.00,,-2278500.00,-1.00
15.807,Earthquake Hazards Reduction Program,2007,Department of the Interior,12800000.00,15832824.00,3032824.00,0.24
15.808,U.S. Geological Survey_ Research and Data Collection,2007,Department of the Interior,41000000.00,63146259.00,22146259.00,0.54
15.810,National Cooperative Geologic Mapping Program,2007,Department of the Interior,6683313.00,,-6683313.00,-1.00
15.811,Gap Analysis Program  ,2007,Department of the Interior,1800000.00,1803623.00,3623.00,0.00
15.812,Cooperative Research Units Program ,2007,Department of the Interior,15405511.00,18670992.00,3265481.00,0.21
15.813,Cooperative Research Units Training Program,2007,Department of the Interior,150000.00,,-150000.00,-1.00
15.814,National Geological and Geophysical Data Preservation Program,2007,Department of the Interior,180000.00,,-180000.00,-1.00
15.815,National Land Remote Sensing_Education Outreach and Research,2007,Department of the Interior,0.00,,0.00,0.00
15.816,Minerals Resources External Research Program,2007,Department of the Interior,0.00,,0.00,0.00
15.875,"Economic, Social, and Political Development of the Territories",2007,Department of the Interior,225892000.00,127411938.00,-98480062.00,-0.44
15.916,"Outdoor Recreation_Acquisition, Development and Planning",2007,Department of the Interior,27994976.00,40330206.00,12335230.00,0.44
15.922,Native American Graves Protection and Repatriation Act,2007,Department of the Interior,2400000.00,8000.00,-2392000.00,-1.00
15.923,National Center for Preservation Technology and Training,2007,Department of the Interior,345667.00,24952.00,-320715.00,-0.93
15.926,American Battlefield Protection,2007,Department of the Interior,492184.00,,-492184.00,-1.00
15.928,Civil War Battlefield Land Acquisition Grants,2007,Department of the Interior,4000000.00,,-4000000.00,-1.00
15.929,Save America's Treasures,2007,Department of the Interior,8074000.00,913000.00,-7161000.00,-0.89
15.930,Chesapeake Bay Gateways Network,2007,Department of the Interior,480350.00,,-480350.00,-1.00
15.931,Conservation Activities by Youth Service Organizations,2007,Department of the Interior,12000000.00,796364.00,-11203636.00,-0.93
15.978,Upper Mississippi River System Long Term Resource Monitoring Program,2007,Department of the Interior,2950136.00,3165143.00,215007.00,0.07
16.013,Violence Against Women Act Court Training and Improvement Grants,2007,Department of Justice,0.00,,0.00,0.00
16.014,"Engaging Men and Youth in Preventing Domestic Violence, Dating Violence, Sexual Assault, and Stalking",2007,Department of Justice,0.00,,0.00,0.00
16.016,Culturally and Linguistically Specific Services Program,2007,Department of Justice,0.00,,0.00,0.00
16.108,Americans With Disabilities Act Technical Assistance Program,2007,Department of Justice,17400000.00,,-17400000.00,-1.00
16.110,Education and Enforcement of the Antidiscrimination Provision of the Immigration and Nationality Act,2007,Department of Justice,725000.00,725000.00,0.00,0.00
16.202,Prisoner Reentry Initiative Demonstration (Offender Reentry),2007,Department of Justice,14879140.00,10084969.00,-4794171.00,-0.32
16.307,Combined DNA Index System,2007,Department of Justice,7947000.00,,-7947000.00,-1.00
16.320,Services for Trafficking Victims,2007,Department of Justice,9872280.00,3854016.00,-6018264.00,-0.61
16.321,Antiterrorism Emergency Reserve,2007,Department of Justice,50000000.00,348155.00,-49651845.00,-0.99
16.524,Legal Assistance for Victims,2007,Department of Justice,32201088.00,32201088.00,0.00,0.00
16.525,"Grants to Reduce Domestic Violence, Dating Violence, Sexual Assault, and Stalking on Campus",2007,Department of Justice,8432311.00,8134311.00,-298000.00,-0.04
16.526,OVW Technical Assistance Initiative,2007,Department of Justice,14107409.00,22446204.00,8338795.00,0.59
16.527,"Supervised Visitation, Safe Havens for Children",2007,Department of Justice,10434453.00,10434453.00,0.00,0.00
16.528,Enhanced Training and Services to End Violence and Abuse of Women Later in Life,2007,Department of Justice,3468729.00,3468729.00,0.00,0.00
16.529,"Education, Training, and Enhanced Services to End Violence Against and Abuse of Women with Disabilities ",2007,Department of Justice,7497863.00,7497863.00,0.00,0.00
16.541,"Part E - Developing, Testing and Demonstrating Promising New Programs",2007,Department of Justice,0.00,121242007.00,121242007.00,
16.543,Missing Children's Assistance,2007,Department of Justice,47386944.00,54953061.00,7566117.00,0.16
16.544,Gang-Free Schools and Communities_Community-Based Gang Intervention,2007,Department of Justice,0.00,2397255.00,2397255.00,
16.547,Victims of Child Abuse,2007,Department of Justice,32400000.00,24828867.00,-7571133.00,-0.23
16.550,State Justice Statistics Program for Statistical Analysis Centers,2007,Department of Justice,34552980.00,2298871.00,-32254109.00,-0.93
16.554,National Criminal History Improvement Program (NCHIP),2007,Department of Justice,9872280.00,9383869.00,-488411.00,-0.05
16.557,Tribal Domestic Violence and Sexual Assault Coalitions Program,2007,Department of Justice,3171961.00,3171961.00,0.00,0.00
16.560,"National Institute of Justice Research, Evaluation, and Development Project Grants",2007,Department of Justice,54297540.00,116162098.00,61864558.00,1.14
16.562,Criminal Justice Research and Development_Graduate Research Fellowships,2007,Department of Justice,0.00,199432.00,199432.00,
16.580,Edward Byrne Memorial State and Local Law Enforcement Assistance Discretionary Grants Program,2007,Department of Justice,189255557.00,243365977.00,54110420.00,0.29
16.582,Crime Victim Assistance/Discretionary Grants,2007,Department of Justice,675000000.00,15653475.00,-659346525.00,-0.98
16.583,Children's Justice Act Partnerships for Indian Communities,2007,Department of Justice,3000000.00,3671526.00,671526.00,0.22
16.585,Drug Court Discretionary Grant Program,2007,Department of Justice,9872280.00,4752072.00,-5120208.00,-0.52
16.587,Violence Against Women Discretionary Grants for Indian Tribal Governments,2007,Department of Justice,31649599.00,31649599.00,0.00,0.00
16.589,"Rural Domestic Violence, Dating Violence, Sexual Assault, and Stalking Assistance Program",2007,Department of Justice,33495246.00,33258916.00,-236330.00,-0.01
16.590,Grants to Encourage Arrest Policies and Enforcement of Protection Orders,2007,Department of Justice,53319675.00,53319675.00,0.00,0.00
16.595,Community Capacity Development Office,2007,Department of Justice,49361400.00,42369650.00,-6991750.00,-0.14
16.596,Correctional Grant Program for Indian Tribes,2007,Department of Justice,8885052.00,,-8885052.00,-1.00
16.601,Corrections_Training and Staff Development,2007,Department of Justice,7219268.00,,-7219268.00,-1.00
16.608,Tribal Court Assistance Program,2007,Department of Justice,7897824.00,6978533.00,-919291.00,-0.12
16.609,Community Prosecution and Project Safe Neighborhoods,2007,Department of Justice,21000000.00,19420528.00,-1579472.00,-0.08
16.610,Regional Information Sharing Systems,2007,Department of Justice,39719145.00,45454517.00,5735372.00,0.14
16.612,National White Collar Crime Center,2007,Department of Justice,8885052.00,,-8885052.00,-1.00
16.611,Closed-Circuit Televising of Child Victims of Abuse,2007,Department of Justice,976000.00,,-976000.00,-1.00
16.616,Indian Country Alcohol and Drug Prevention,2007,Department of Justice,4936140.00,3136619.00,-1799521.00,-0.36
16.710,Public Safety Partnership and Community Policing Grants,2007,Department of Justice,555445730.00,,-555445730.00,-1.00
16.726,Juvenile Mentoring Program,2007,Department of Justice,9872280.00,8200000.00,-1672280.00,-0.17
16.727,Enforcing Underage Drinking Laws Program,2007,Department of Justice,24680700.00,17850000.00,-6830700.00,-0.28
16.730,Reduction and Prevention of Children's Exposure to Violence,2007,Department of Justice,9898000.00,,-9898000.00,-1.00
16.731,Tribal Youth Program,2007,Department of Justice,9872280.00,8741926.00,-1130354.00,-0.11
16.735,Protecting Inmates and Safeguarding Communities Discretionary Grant Program ,2007,Department of Justice,17942869.00,3805.00,-17939064.00,-1.00
16.736,"Transitional Housing Assistance for Victims of Domestic Violence, Dating Violence, Stalking, or Sexual Assault ",2007,Department of Justice,12898534.00,12898534.00,0.00,0.00
16.737,Gang Resistance Education and Training,2007,Department of Justice,24680700.00,14534415.00,-10146285.00,-0.41
16.739,National Prison Rape Statistics Program ,2007,Department of Justice,14808420.00,1859205.00,-12949215.00,-0.87
16.740,Statewide Automated Victim Information Notification (SAVIN) Program,2007,Department of Justice,8885052.00,10070591.00,1185539.00,0.13
16.744,Anti-Gang Initiative,2007,Department of Justice,45000000.00,32879153.00,-12120847.00,-0.27
16.745,Criminal and Juvenile Justice and Mental Health Collaboration Program,2007,Department of Justice,4936140.00,3511153.00,-1424987.00,-0.29
16.747,Crime Victims' Rights Act,2007,Department of Justice,1974456.00,1969717.00,-4739.00,0.00
16.746,Capital Case Litigation,2007,Department of Justice,987228.00,386767.00,-600461.00,-0.61
16.749,Radiation Exposure Compensation Program,2007,Department of Justice,38000000.00,,-38000000.00,-1.00
16.750,Support for Adam Walsh Act Implementation Grant Program,2007,Department of Justice,6040000.00,,-6040000.00,-1.00
16.751,Edward Byrne Memorial Competitive Grant Program,2007,Department of Justice,0.00,,0.00,0.00
16.752,Economic High-Tech and Cyber Crime Prevention,2007,Department of Justice,0.00,,0.00,0.00
16.753,Congressionally Recommended Awards ,2007,Department of Justice,0.00,,0.00,0.00
17.002,Labor Force Statistics,2007,Department of Labor,81663861.00,81690699.00,26838.00,0.00
17.005,Compensation and Working Conditions,2007,Department of Labor,5812910.00,5812910.00,0.00,0.00
17.245,Trade Adjustment Assistance,2007,Department of Labor,260000000.00,287139949.00,27139949.00,0.10
17.261,"WIA Pilots, Demonstrations, and Research Projects",2007,Department of Labor,26000000.00,66048406.00,40048406.00,1.54
17.265,Native American Employment and Training,2007,Department of Labor,69000000.00,53958731.00,-15041269.00,-0.22
17.266,Work Incentive Grants,2007,Department of Labor,30000000.00,29084771.00,-915229.00,-0.03
17.268,H-1B Job Training Grants,2007,Department of Labor,111000000.00,103476128.00,-7523872.00,-0.07
17.269,Community Based Job Training Grants,2007,Department of Labor,125000000.00,125000000.00,0.00,0.00
17.270,Reintegration of Ex-Offenders,2007,Department of Labor,74000000.00,19634100.00,-54365900.00,-0.73
17.274,YOUTHBUILD,2007,Department of Labor,0.00,,0.00,0.00
17.502,Occupational Safety and Health_Susan Harwood Training Grants,2007,Department of Labor,10152000.00,11868855.00,1716855.00,0.17
17.503,Occupational Safety and Health_State Program,2007,Department of Labor,91093000.00,93294851.00,2201851.00,0.02
17.504,Consultation Agreements,2007,Department of Labor,53357000.00,48142811.00,-5214189.00,-0.10
17.505,OSHA Data Initiative,2007,Department of Labor,1477000.00,1416469.00,-60531.00,-0.04
17.600,Mine Health and Safety Grants,2007,Department of Labor,8204000.00,11380352.00,3176352.00,0.39
17.603,Brookwood-Sago Grant,2007,Department of Labor,500000.00,500000.00,0.00,0.00
17.805,Homeless Veterans Reintegration Project,2007,Department of Labor,20285412.00,10158663.00,-10126749.00,-0.50
17.807,Transition Assistance Program,2007,Department of Labor,5618155.00,,-5618155.00,-1.00
19.300,Program for Study of Eastern Europe and the Independent States of the Former Soviet Union,2007,U.S. Department of State,4200000.00,,-4200000.00,-1.00
19.400,Educational Exchange_Graduate Students,2007,U.S. Department of State,60700000.00,209225.00,-60490775.00,-1.00
19.401,Educational Exchange_University Lecturers (Professors) and Research Scholars,2007,U.S. Department of State,43550000.00,27634.00,-43522366.00,-1.00
19.402,International Visitors Program,2007,U.S. Department of State,11360000.00,277781.00,-11082219.00,-0.98
19.408,Educational Exchange_Teachers from Secondary and Postsecondary Levels and School Administrators,2007,U.S. Department of State,12390000.00,398327.00,-11991673.00,-0.97
19.415,Professional Exchanges_Annual Open Grant,2007,U.S. Department of State,7050000.00,343841.00,-6706159.00,-0.95
19.421,Exchange_English Language Fellow Program,2007,U.S. Department of State,6800000.00,588236.00,-6211764.00,-0.91
19.432,Overseas Educational Advising,2007,U.S. Department of State,1775000.00,120639.00,-1654361.00,-0.93
19.500,Middle East Partnership Initiative (MEPI) ,2007,U.S. Department of State,120000.00,94324043.00,94204043.00,785.03
19.520,Overseas Refugee Assistance Programs for Europe,2007,U.S. Department of State,40000000.00,6317009.00,-33682991.00,-0.84
19.522,Overseas Refugee Assistance Programs for Strategic Global Priorities,2007,U.S. Department of State,63000000.00,50032346.00,-12967654.00,-0.21
20.106,Airport Improvement Program,2007,Department of Transportation,3401659000.00,3856797893.00,455138893.00,0.13
20.108,Aviation Research Grants,2007,Department of Transportation,23457466.00,37721873.00,14264407.00,0.61
20.233,Border Enforcement Grants,2007,Department of Transportation,32000000.00,871260.00,-31128740.00,-0.97
20.234,Safety Data Improvement Program,2007,Department of Transportation,3000000.00,2999999.00,-1.00,0.00
20.235,Commercial Motor Vehicle Operator Training Grants,2007,Department of Transportation,1000000.00,,-1000000.00,-1.00
20.237,Commercial Vehicle Information Systems and Networks,2007,Department of Transportation,3000000.00,,-3000000.00,-1.00
20.238,Commercial Drivers License Information System ,2007,Department of Transportation,7000000.00,1256.00,-6998744.00,-1.00
20.240,Fuel Tax Evasion-Intergovernmental Enforcement Effort,2007,Department of Transportation,1000000.00,,-1000000.00,-1.00
20.303,Grants-in-Aid for Railroad Safety_State Participation,2007,Department of Transportation,1400000.00,8408474.00,7008474.00,5.01
20.313,Railroad Research and Development,2007,Department of Transportation,1097262.00,6745729.00,5648467.00,5.15
20.314,Railroad Development,2007,Department of Transportation,3500000.00,1211224.00,-2288776.00,-0.65
20.317,Capital Assistance to States - Intercity Passenger Rail Service,2007,Department of Transportation,0.00,,0.00,0.00
20.318,Maglev Project Selection Program - SAFETEA-LU,2007,Department of Transportation,0.00,,0.00,0.00
20.514,Public Transportation Research,2007,Department of Transportation,34414761.00,74097489.00,39682728.00,1.15
20.516,Job Access_Reverse Commute,2007,Department of Transportation,59714258.00,109202955.00,49488697.00,0.83
20.518,Capital and Training Assistance Program for Over-the-Road Bus Accessibility,2007,Department of Transportation,6856849.00,8353199.00,1496350.00,0.22
20.519,Clean Fuels,2007,Department of Transportation,15920000.00,29260860.00,13340860.00,0.84
20.522,Alternatives Analysis ,2007,Department of Transportation,15745000.00,29857500.00,14112500.00,0.90
20.601,Alcohol Traffic Safety and Drunk Driving Prevention Incentive Grants,2007,Department of Transportation,124500000.00,124500005.00,5.00,0.00
20.602,Occupant Protection,2007,Department of Transportation,25000000.00,25553184.00,553184.00,0.02
20.607,Alcohol Open Container Requirements,2007,Department of Transportation,92971359.00,,-92971359.00,-1.00
20.608,Minimum Penalties for Repeat Offenders for Driving While Intoxicated,2007,Department of Transportation,124501824.00,,-124501824.00,-1.00
20.609,Safety Belt Performance Grants,2007,Department of Transportation,124500000.00,131514457.00,7014457.00,0.06
20.610,State Traffic Safety Information System Improvement Grants,2007,Department of Transportation,34500000.00,35042935.00,542935.00,0.02
20.611,Incentive Grant Program to Prohibit Racial Profiling,2007,Department of Transportation,8613632.00,8613632.00,0.00,0.00
20.612,Incentive Grant Program to Increase Motorcyclist Safety,2007,Department of Transportation,6000000.00,5900000.00,-100000.00,-0.02
20.613,Child Safety and Child Booster Seats Incentive Grants,2007,Department of Transportation,6000000.00,7145646.00,1145646.00,0.19
20.614,National Highway Transportation Safety Administration (NHTSA) Discretionary Safety Grants,2007,Department of Transportation,40000000.00,9657156.00,-30342844.00,-0.76
20.701,University Transportation Centers Program,2007,Department of Transportation,76700000.00,75275905.00,-1424095.00,-0.02
20.703,Interagency Hazardous Materials Public Sector Training and Planning Grants,2007,Department of Transportation,12800000.00,,-12800000.00,-1.00
20.704,RITA Hydrogen,2007,Department of Transportation,1322807.00,,-1322807.00,-1.00
20.720,State Damage Prevention Program Grants,2007,Department of Transportation,0.00,,0.00,0.00
20.721,PHMSA Pipeline Safety Program One Call Grant,2007,Department of Transportation,1021000.00,,-1021000.00,-1.00
20.760,University Transportation Centers,2007,Department of Transportation,76700000.00,,-76700000.00,-1.00
20.761,Biobased Transportation Research,2007,Department of Transportation,12500000.00,9676104.00,-2823896.00,-0.23
20.762,Research Grants,2007,Department of Transportation,1000000.00,1373814.00,373814.00,0.37
20.763,Research and Innovative Technology (RIT) Hydrogen Alternative Fuel Life Cycle,2007,Department of Transportation,1000000.00,,-1000000.00,-1.00
20.764,Hydrogen Storage Research and Development,2007,Department of Transportation,41200000.00,1592000.00,-39608000.00,-0.96
20.815,Fireboat Construction,2007,Department of Transportation,0.00,,0.00,0.00
20.910,Assistance to small and disadvantaged businesses,2007,Department of Transportation,0.00,706547.00,706547.00,
20.930,Payments for Small Community Air Service Development,2007,Department of Transportation,8875678.00,,-8875678.00,-1.00
20.931,"Transportation Planning, Research and Education",2007,Department of Transportation,3000000.00,,-3000000.00,-1.00
21.006,Tax Counseling for the Elderly,2007,Department of the Treasury,3950000.00,,-3950000.00,-1.00
21.008,Low-Income Taxpayer Clinics,2007,Department of the Treasury,8000000.00,,-8000000.00,-1.00
21.021,Bank Enterprise Award Program,2007,Department of the Treasury,11167711.00,11395203.00,227492.00,0.02
23.002,Appalachian Area Development,2007,Appalachian Regional Commission,58917132.00,,-58917132.00,-1.00
23.003,Appalachian Development Highway System,2007,Appalachian Regional Commission,423820097.00,,-423820097.00,-1.00
23.009,Appalachian Local Development District Assistance,2007,Appalachian Regional Commission,6134562.00,,-6134562.00,-1.00
23.011,"Appalachian Research, Technical Assistance, and Demonstration Projects",2007,Appalachian Regional Commission,763536.00,,-763536.00,-1.00
39.003,Donation of Federal Surplus Personal Property,2007,General Services Administration,11507000.00,,-11507000.00,-1.00
45.024,Promotion of the Arts_Grants to Organizations and Individuals,2007,National Endowment for the Arts,60384000.00,46264076.00,-14119924.00,-0.23
45.130,Promotion of the Humanities_Challenge Grants,2007,National Endowment for the Arts,10273705.00,11434174.00,1160469.00,0.11
45.149,Promotion of the Humanities_Division of Preservation and Access,2007,National Endowment for the Arts,23905060.00,20743987.00,-3161073.00,-0.13
45.160,Promotion of the Humanities_Fellowships and Stipends,2007,National Endowment for the Arts,6796000.00,,-6796000.00,-1.00
45.161,Promotion of the Humanities_Research,2007,National Endowment for the Arts,8969769.00,8603809.00,-365960.00,-0.04
45.162,Promotion of the Humanities_Teaching and Learning Resources and Curriculum Development,2007,National Endowment for the Arts,2223567.00,2160328.00,-63239.00,-0.03
45.163,Promotion of the Humanities_Professional Development,2007,National Endowment for the Arts,14359170.00,14345808.00,-13362.00,0.00
45.164,Promotion of the Humanities_Public Programs,2007,National Endowment for the Arts,13847063.00,13586182.00,-260881.00,-0.02
45.301,Museums for America,2007,National Endowment for the Arts,17400000.00,17417215.00,17215.00,0.00
45.303,Conservation Project Support,2007,National Endowment for the Arts,2772000.00,4907079.00,2135079.00,0.77
45.307,21st Century Museum Professionals,2007,National Endowment for the Arts,2074017.00,2074017.00,0.00,0.00
45.308,Native American/Native Hawaiian Museum Services Program ,2007,National Endowment for the Arts,1007740.00,1007740.00,0.00,0.00
45.309,Museum Grants for African American History and Culture,2007,National Endowment for the Arts,880028.00,880028.00,0.00,0.00
45.311,Native American and Native Hawaiian Library Services,2007,National Endowment for the Arts,3638000.00,3644000.00,6000.00,0.00
45.312,National Leadership Grants,2007,National Endowment for the Arts,20295000.00,23378486.00,3083486.00,0.15
45.313,Laura Bush 21st Century Librarian Program,2007,National Endowment for the Arts,23760000.00,28527516.00,4767516.00,0.20
47.041,Engineering Grants,2007,National Science Foundation,629990000.00,663592319.00,33602319.00,0.05
47.049,Mathematical and Physical Sciences,2007,National Science Foundation,1150730000.00,1282846990.00,132116990.00,0.11
47.050,Geosciences,2007,National Science Foundation,745850000.00,768881368.00,23031368.00,0.03
47.070,Computer and Information Science and Engineering,2007,National Science Foundation,526680000.00,537711549.00,11031549.00,0.02
47.074,Biological Sciences,2007,National Science Foundation,608540000.00,639700396.00,31160396.00,0.05
47.075,"Social, Behavioral, and Economic Sciences",2007,National Science Foundation,214540000.00,212101865.00,-2438135.00,-0.01
47.076,Education and Human Resources,2007,National Science Foundation,695650000.00,835353662.00,139703662.00,0.20
47.078,Polar Programs,2007,National Science Foundation,145920000.00,145028945.00,-891055.00,-0.01
47.079,International Science and Engineering (OISE),2007,National Science Foundation,40360000.00,32587633.00,-7772367.00,-0.19
47.080,Office of Cyberinfrastructure,2007,National Science Foundation,182420000.00,273172410.00,90752410.00,0.50
47.081,Office of Experimental Program to Stimulate Competitive Research ,2007,National Science Foundation,102110000.00,,-102110000.00,-1.00
59.007,7(j) Technical Assistance,2007,Small Business Administraton,3340000.00,,-3340000.00,-1.00
59.037,Small Business Development Centers,2007,Small Business Administraton,101241000.00,,-101241000.00,-1.00
59.043,Women's Business Ownership Assistance,2007,Small Business Administraton,20432000.00,,-20432000.00,-1.00
59.044,Veterans Business Development,2007,Small Business Administraton,4181000.00,,-4181000.00,-1.00
59.050,PRIME Technical Assistance,2007,Small Business Administraton,1863000.00,,-1863000.00,-1.00
59.051,New Markets Venture Capital Program,2007,Small Business Administraton,210000.00,,-210000.00,-1.00
59.052,Native American Outreach,2007,Small Business Administraton,1415000.00,,-1415000.00,-1.00
59.055,HUBZone Program,2007,Small Business Administraton,6767000.00,,-6767000.00,-1.00
59.070,Drug-Free Workplace Program,2007,Small Business Administraton,849000.00,,-849000.00,-1.00
64.005,Grants to States for Construction of State Home Facilities,2007,Department of Veterans Affairs,73515000.00,16639385.00,-56875615.00,-0.77
64.024,VA Homeless Providers Grant and Per Diem Program,2007,Department of Veterans Affairs,81187000.00,10212629.00,-70974371.00,-0.87
64.026,Veterans State Adult Day Health Care,2007,Department of Veterans Affairs,362000.00,,-362000.00,-1.00
64.203,State Cemetery Grants,2007,Department of Veterans Affairs,45888000.00,45975277.00,87277.00,0.00
66.001,Air Pollution Control Program Support,2007,Environmental Protection Agency,154747260.00,154270142.00,-477118.00,0.00
66.032,State Indoor Radon Grants,2007,Environmental Protection Agency,7439000.00,13234364.00,5795364.00,0.78
66.033,Ozone Transport Commission,2007,Environmental Protection Agency,639000.00,1278000.00,639000.00,1.00
66.034,"Surveys, Studies, Research, Investigations, Demonstrations, and Special Purpose Activities Relating to the Clean Air Act",2007,Environmental Protection Agency,45783177.00,141326175.00,95542998.00,2.09
66.035,Community Action for a Renewed Environment (CARE) Program,2007,Environmental Protection Agency,1900000.00,6649144.00,4749144.00,2.50
66.036,Clean School Bus USA,2007,Environmental Protection Agency,6900000.00,9047180.00,2147180.00,0.31
66.037,"Internships, Training and Workshops for the Office of Air and Radiation",2007,Environmental Protection Agency,0.00,,0.00,0.00
