"Program Title","Program Number","Agency","Published Date","Parent Shortname","URL"
"Payments to States in Lieu of Real Estate Taxes","12.112","Department Of The Army, Office Of The Chief Of Engineers, Department Of Defense","Jan, 01 1986","DOD","https://www.cfda.gov/programs/12.112"
"State Memorandum of Agreement Program for the Reimbursement of Technical Services","12.113","Department Of The Army, Office Of The Chief Of Engineers, Department Of Defense","Jan, 01 1991","DOD","https://www.cfda.gov/programs/12.113"
"Collaborative Research and Development","12.114","Department Of The Army, Office Of The Chief Of Engineers, Department Of Defense","Jan, 01 1994","DOD","https://www.cfda.gov/programs/12.114"
"Department of Defense Appropriation Act of 2003","12.116","Department Of The Army, Office Of The Chief Of Engineers, Department Of Defense","Jan, 01 2003","DOD","https://www.cfda.gov/programs/12.116"
"ARRA Cooperative Agreements, New Mexico","12.117","Department Of The Army, Office Of The Chief Of Engineers, Department Of Defense","Jan, 29 2010","DOD","https://www.cfda.gov/programs/12.117"
"North Dakota Environmental Infrastructure (Section 594) - ARRA","12.118","Department Of The Army, Office Of The Chief Of Engineers, Department Of Defense","Jan, 29 2010","DOD","https://www.cfda.gov/programs/12.118"
"Northern Wisconsin Environmental Infrastructure (Section 154) - ARRA","12.119","Department Of The Army, Office Of The Chief Of Engineers, Department Of Defense","Jan, 29 2010","DOD","https://www.cfda.gov/programs/12.119"
"Northeastern Minnesota  Environmental Infrastructure (Section 569) - ARRA","12.120","Department Of The Army, Office Of The Chief Of Engineers, Department Of Defense","Jan, 29 2010","DOD","https://www.cfda.gov/programs/12.120"
"Montana, Nevada, New Mexico, Utah, Idaho, & Wyoming Environmental Infrastructure (Section 595) - ARRA","12.121","Department Of The Army, Office Of The Chief Of Engineers, Department Of Defense","Feb, 04 2010","DOD","https://www.cfda.gov/programs/12.121"
"Title VI - Cheyenne River Sioux Tribe, Lower Brule Sioux Tribe, and Terrestrial Wildlife Habitat Restoration, South Dakota - ARRA","12.122","Department Of The Army, Office Of The Chief Of Engineers, Department Of Defense","Feb, 04 2010","DOD","https://www.cfda.gov/programs/12.122"
"South Central Pennsylvania Envrionmental Infrastructure (Section 313) - ARRA","12.123","Department Of The Army, Office Of The Chief Of Engineers, Department Of Defense","Feb, 04 2010","DOD","https://www.cfda.gov/programs/12.123"
"Mississippi Environmental Infrastructure (Section 592) - ARRA","12.124","Department Of The Army, Office Of The Chief Of Engineers, Department Of Defense","Mar, 05 2010","DOD","https://www.cfda.gov/programs/12.124"
"Southern WV Environmental Infrastructure (Section 340) - ARRA","12.125","Department Of The Army, Office Of The Chief Of Engineers, Department Of Defense","Mar, 22 2010","DOD","https://www.cfda.gov/programs/12.125"
"Central WV Environmental Infrastructure (Section 571) - ARRA","12.126","Department Of The Army, Office Of The Chief Of Engineers, Department Of Defense","Mar, 22 2010","DOD","https://www.cfda.gov/programs/12.126"
"Southern and Eastern KY Environmental Infrastructure (Section 531) - ARRA","12.127","Department Of The Army, Office Of The Chief Of Engineers, Department Of Defense","Mar, 22 2010","DOD","https://www.cfda.gov/programs/12.127"
"Florida Keys Water Quality Improvement Program (Section 109) - ARRA","12.128","Department Of The Army, Office Of The Chief Of Engineers, Department Of Defense","Mar, 22 2010","DOD","https://www.cfda.gov/programs/12.128"
"Title VI - Cheyenne River Sioux Tribe, Lower Brule Sioux Tribe, and Terrestrial Wildlife Habitat Restoration, South Dakota","12.129","Department Of The Army, Office Of The Chief Of Engineers, Department Of Defense","Apr, 12 2010","DOD","https://www.cfda.gov/programs/12.129"
"Basic and Applied Scientific Research","12.300","Department Of The Navy, Office Of The Chief Of Naval Research, Department Of Defense","Jan, 01 1967","DOD","https://www.cfda.gov/programs/12.300"
"Department of Defense HIV/AIDS Prevention Program","12.350","Department Of The Navy, Office Of The Chief Of Naval Research, Department Of Defense","Jan, 01 2006","DOD","https://www.cfda.gov/programs/12.350"
"Basic  Scientific Research - Combating Weapons of Mass Destruction ","12.351","Office Of The Secretary Of Defense, Department Of Defense","Jan, 01 2007","DOD","https://www.cfda.gov/programs/12.351"
"Scientific Research - Combating Weapons of Mass Destruction","12.352","Office Of The Secretary Of Defense, Department Of Defense","Jan, 01 2007","DOD","https://www.cfda.gov/programs/12.352"
"Research on Chemical and Biological Defense","12.360","Office Of The Secretary Of Defense, Department Of Defense","Jan, 01 2007","DOD","https://www.cfda.gov/programs/12.360"
"Military Construction, National Guard","12.400","National Guard Bureau, Department Of Defense","Jan, 01 1967","DOD","https://www.cfda.gov/programs/12.400"
"National Guard Military Operations and Maintenance (O&M) Projects","12.401","National Guard Bureau, Department Of Defense","Jan, 01 1996","DOD","https://www.cfda.gov/programs/12.401"
"National Guard Civilian Youth Opportunities","12.404","Department Of The Army, Aviation Applied Technology Directorate, Department Of Defense","Jan, 01 2001","DOD","https://www.cfda.gov/programs/12.404"
"Military Medical Research and Development","12.420","U.s. Army Medical Command, Department Of Defense","Jan, 01 1991","DOD","https://www.cfda.gov/programs/12.420"
"Basic Scientific Research","12.431","U.s. Army Materiel Command, Department Of Defense","Jan, 01 1992","DOD","https://www.cfda.gov/programs/12.431"
"National Flagship Language Program Grants To U.S. Institutions Of Higher Education","12.550","Office Of The Assistant Secretary (strategy And Requirements), Department Of Defense","Jan, 01 1996","DOD","https://www.cfda.gov/programs/12.550"
"National Security Education Program David L. Boren Scholarships","12.551","Office Of The Assistant Secretary (strategy And Requirements), Department Of Defense","Jan, 01 1998","DOD","https://www.cfda.gov/programs/12.551"
"National Security Education Program David L. Boren Fellowships","12.552","Office Of The Assistant Secretary (strategy And Requirements), Department Of Defense","Jan, 01 1998","DOD","https://www.cfda.gov/programs/12.552"
"National Flagship Language Program Fellowships","12.553","Office Of The Assistant Secretary (strategy And Requirements), Department Of Defense","Jan, 01 2006","DOD","https://www.cfda.gov/programs/12.553"
"English for Heritage Language Speakers Grants to U.S. Institutions of Higher Education","12.554","Office Of The Assistant Secretary (strategy And Requirements), Department Of Defense","Jan, 01 2006","DOD","https://www.cfda.gov/programs/12.554"
"English for Heritage Language Speakers Scholarships","12.555","Office Of The Assistant Secretary (strategy And Requirements), Department Of Defense","Jan, 01 2006","DOD","https://www.cfda.gov/programs/12.555"
"Competitive Grants: Promoting K-12 Student Achievement at Military-Connected Schools","12.556","Department Of Defense","Aug, 31 2009","DOD","https://www.cfda.gov/programs/12.556"
"Invitational Grants for Military-Connected Schools","12.557","Department Of Defense","Oct, 20 2009","DOD","https://www.cfda.gov/programs/12.557"
"Department of Defense Impact Aid (Supplement, CWSD, BRAC)","12.558","Office Of The Secretary Of Defense, Department Of Defense","Oct, 16 2009","DOD","https://www.cfda.gov/programs/12.558"
"Congressionally Directed Assistance","12.599","Office Of The Secretary Of Defense, Department Of Defense","Mar, 05 2010","DOD","https://www.cfda.gov/programs/12.599"
"Community Economic Adjustment Assistance for Establishment, Expansion, Realignment, or Closure of a Military Installation","12.607","Office Of Economic Adjustment, Department Of Defense","Jan, 01 1985","DOD","https://www.cfda.gov/programs/12.607"
"Community Economic Adjustment Planning Assistance for Joint Land Use Studies","12.610","Office Of Economic Adjustment, Department Of Defense","Jan, 01 1989","DOD","https://www.cfda.gov/programs/12.610"
"Community Economic Adjustment Planning Assistance for Reductions in Defense Industry Employment","12.611","Office Of Economic Adjustment, Department Of Defense","Jan, 01 1992","DOD","https://www.cfda.gov/programs/12.611"
"Community Economic Adjustment Diversification Planning","12.614","Department Of Defense","Jan, 01 2005","DOD","https://www.cfda.gov/programs/12.614"
"RESEARCH AND TECHNICAL ASSISTANCE","12.615","Office Of Economic Adjustment, Department Of Defense","Jan, 01 2008","DOD","https://www.cfda.gov/programs/12.615"
"Basic, Applied, and Advanced Research in Science and Engineering","12.630","Office Of The Secretary Of Defense, Department Of Defense","Jan, 01 1994","DOD","https://www.cfda.gov/programs/12.630"
"Donations/Loans of Obsolete DOD Property","12.700","Secretaries Of Military Departments, Department Of Defense","Jan, 01 1971","DOD","https://www.cfda.gov/programs/12.700"
"Air Force Defense Research Sciences Program","12.800","Department Of The Air Force, Materiel Command, Department Of Defense","Jan, 01 1994","DOD","https://www.cfda.gov/programs/12.800"
"Language Grant Program","12.900","National Security Agency, Department Of Defense","Jan, 01 1992","DOD","https://www.cfda.gov/programs/12.900"
"Mathematical Sciences Grants Program","12.901","National Security Agency, Department Of Defense","Jan, 01 1992","DOD","https://www.cfda.gov/programs/12.901"
"Information Security Grant Program","12.902","National Security Agency, Department Of Defense","Jan, 01 1995","DOD","https://www.cfda.gov/programs/12.902"
"Research and Technology Development","12.910","Advanced Research Projects Agency, Department Of Defense","Jan, 01 1992","DOD","https://www.cfda.gov/programs/12.910"
"Interest Reduction Payments_Rental and Cooperative Housing for Lower Income Families","14.103","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1969","HUD","https://www.cfda.gov/programs/14.103"
"Rehabilitation Mortgage Insurance","14.108","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1970","HUD","https://www.cfda.gov/programs/14.108"
"Manufactured Home Loan Insurance_Financing Purchase of Manufactured Homes as Principal Residences of Borrowers","14.110","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1970","HUD","https://www.cfda.gov/programs/14.110"
"Mortgage Insurance for Construction or Substantial Rehabilitation of Condominium Projects","14.112","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1970","HUD","https://www.cfda.gov/programs/14.112"
"Mortgage Insurance_Homes","14.117","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1967","HUD","https://www.cfda.gov/programs/14.117"
"Mortgage Insurance_Homes for Disaster Victims","14.119","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1967","HUD","https://www.cfda.gov/programs/14.119"
"Mortgage Insurance_Homes in Urban Renewal Areas","14.122","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1970","HUD","https://www.cfda.gov/programs/14.122"
"Mortgage Insurance_Housing in Older, Declining Areas","14.123","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1969","HUD","https://www.cfda.gov/programs/14.123"
"Mortgage Insurance_Cooperative Projects","14.126","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1970","HUD","https://www.cfda.gov/programs/14.126"
"Mortgage Insurance_Manufactured Home Parks","14.127","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1970","HUD","https://www.cfda.gov/programs/14.127"
"Mortgage Insurance_Hospitals","14.128","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1965","HUD","https://www.cfda.gov/programs/14.128"
"Mortgage Insurance_Nursing Homes, Intermediate Care Facilities, Board and Care Homes and Assisted Living Facilities","14.129","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1965","HUD","https://www.cfda.gov/programs/14.129"
"Mortgage Insurance_Purchase of Units in Condominiums","14.133","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1965","HUD","https://www.cfda.gov/programs/14.133"
"Mortgage Insurance_Rental Housing","14.134","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1970","HUD","https://www.cfda.gov/programs/14.134"
"Mortgage Insurance_Rental and Cooperative Housing for Moderate Income Families and Elderly, Market Interest Rate","14.135","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1970","HUD","https://www.cfda.gov/programs/14.135"
"Mortgage Insurance_Rental Housing for the Elderly","14.138","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1965","HUD","https://www.cfda.gov/programs/14.138"
"Mortgage Insurance_Rental Housing in Urban Renewal Areas","14.139","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1965","HUD","https://www.cfda.gov/programs/14.139"
"Property Improvement Loan Insurance for Improving All Existing Structures and Building of New Nonresidential Structures","14.142","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1970","HUD","https://www.cfda.gov/programs/14.142"
"Rent Supplements_Rental Housing for Lower Income Families","14.149","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1965","HUD","https://www.cfda.gov/programs/14.149"
"Supplemental Loan Insurance_Multifamily Rental Housing","14.151","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1969","HUD","https://www.cfda.gov/programs/14.151"
"Mortgage Insurance for the Purchase or Refinancing of Existing Multifamily Housing Projects","14.155","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1975","HUD","https://www.cfda.gov/programs/14.155"
"Supportive Housing for the Elderly","14.157","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1977","HUD","https://www.cfda.gov/programs/14.157"
"Section 245 Graduated Payment Mortgage Program","14.159","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1978","HUD","https://www.cfda.gov/programs/14.159"
"Mortgage Insurance_Combination and Manufactured Home Lot Loans","14.162","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1979","HUD","https://www.cfda.gov/programs/14.162"
"Mortgage Insurance_Single Family Cooperative Housing","14.163","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1979","HUD","https://www.cfda.gov/programs/14.163"
"Mortgage Insurance_Two Year Operating Loss Loans, Section 223(d)","14.167","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1981","HUD","https://www.cfda.gov/programs/14.167"
"Land Sales-Certain Subdivided Land (Interstate Land Sales Registration) and Real Estate Settlement Procedures Act","14.168","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1982","HUD","https://www.cfda.gov/programs/14.168"
"Housing Counseling Assistance Program","14.169","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1982","HUD","https://www.cfda.gov/programs/14.169"
"Manufactured Home Construction and Safety Standards","14.171","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1982","HUD","https://www.cfda.gov/programs/14.171"
"Mortgage Insurance_Growing Equity Mortgages","14.172","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1983","HUD","https://www.cfda.gov/programs/14.172"
"Adjustable Rate Mortgages","14.175","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1984","HUD","https://www.cfda.gov/programs/14.175"
"Supportive Housing for Persons with Disabilities","14.181","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1991","HUD","https://www.cfda.gov/programs/14.181"
"Home Equity Conversion Mortgages","14.183","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1991","HUD","https://www.cfda.gov/programs/14.183"
"Mortgages Insurance for Single Room Occupancy (SRO) Projects","14.184","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1991","HUD","https://www.cfda.gov/programs/14.184"
"Housing Finance Agencies (HFA) Risk Sharing","14.188","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1994","HUD","https://www.cfda.gov/programs/14.188"
"Qualified Participating Entities (QPE) Risk Sharing","14.189","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1994","HUD","https://www.cfda.gov/programs/14.189"
"Multifamily Housing Service Coordinators","14.191","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1997","HUD","https://www.cfda.gov/programs/14.191"
"Section 8 Housing Assistance Payments Program","14.195","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1998","HUD","https://www.cfda.gov/programs/14.195"
"Multifamily Assisted Housing Reform and Affordability Act","14.197","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1999","HUD","https://www.cfda.gov/programs/14.197"
"Good Neighbor Next Door Sales Program","14.198","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 1999","HUD","https://www.cfda.gov/programs/14.198"
"Multifamily Property Disposition","14.199","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 2000","HUD","https://www.cfda.gov/programs/14.199"
"Community Development Block Grants/Entitlement Grants","14.218","Office Of Community Planning And Development, Department Of Housing And Urban Development","Jan, 01 1975","HUD","https://www.cfda.gov/programs/14.218"
"Community Development Block Grants/Special Purpose Grants/Insular Areas","14.225","Office Of Community Planning And Development, Department Of Housing And Urban Development","Jan, 01 1980","HUD","https://www.cfda.gov/programs/14.225"
"Community Development Block Grants/Technical Assistance Program","14.227","Office Of Community Planning And Development, Department Of Housing And Urban Development","Jan, 01 1981","HUD","https://www.cfda.gov/programs/14.227"
"Community Development Block Grants/State's program and Non-Entitlement Grants in Hawaii","14.228","Office Of Community Planning And Development, Department Of Housing And Urban Development","Jan, 01 1981","HUD","https://www.cfda.gov/programs/14.228"
"Emergency Shelter Grants Program","14.231","Office Of Community Planning And Development, Department Of Housing And Urban Development","Jan, 01 1987","HUD","https://www.cfda.gov/programs/14.231"
"Supportive Housing Program","14.235","Office Of Community Planning And Development, Department Of Housing And Urban Development","Jan, 01 1990","HUD","https://www.cfda.gov/programs/14.235"
"Shelter Plus Care","14.238","Office Of Community Planning And Development, Department Of Housing And Urban Development","Jan, 01 1992","HUD","https://www.cfda.gov/programs/14.238"
"Home Investment Partnerships Program","14.239","Office Of Community Planning And Development, Department Of Housing And Urban Development","Jan, 01 1992","HUD","https://www.cfda.gov/programs/14.239"
"Housing Opportunities for Persons with AIDS","14.241","Office Of Community Planning And Development, Department Of Housing And Urban Development","Jan, 01 1992","HUD","https://www.cfda.gov/programs/14.241"
"Community Development Block Grants/Brownfields Economic Development Initiative","14.246","Office Of Community Planning And Development, Department Of Housing And Urban Development","Jan, 01 1996","HUD","https://www.cfda.gov/programs/14.246"
"Self-Help Homeownership Opportunity Program","14.247","Office Of Community Planning And Development, Department Of Housing And Urban Development","Jan, 01 1997","HUD","https://www.cfda.gov/programs/14.247"
"Community Development Block Grants_Section 108 Loan Guarantees","14.248","Office Of Community Planning And Development, Department Of Housing And Urban Development","Jan, 01 1997","HUD","https://www.cfda.gov/programs/14.248"
"Section 8 Moderate Rehabilitation Single Room Occupancy","14.249","Office Of Community Planning And Development, Department Of Housing And Urban Development","Jan, 01 1998","HUD","https://www.cfda.gov/programs/14.249"
"Rural Housing and Economic Development","14.250","Office Of Community Planning And Development, Department Of Housing And Urban Development","Jan, 01 1999","HUD","https://www.cfda.gov/programs/14.250"
"Economic Development Initiative-Special Project, Neighborhood Initiative and Miscellaneous Grants","14.251","Office Of Community Planning And Development, Department Of Housing And Urban Development","Jan, 01 2008","HUD","https://www.cfda.gov/programs/14.251"
"Section 4 Capacity Building for Community Development and Affordable Housing","14.252","Office Of Community Planning And Development, Department Of Housing And Urban Development","Jan, 01 2008","HUD","https://www.cfda.gov/programs/14.252"
"Community Development Block Grant ARRA Entitlement Grants (CDBG-R)(Recovery Act Funded)","14.253","Department Of Housing And Urban Development","May, 22 2009","HUD","https://www.cfda.gov/programs/14.253"
"Community Development Block Grants/Special Purpose Grants/Insular Areas – (Recovery Act Funded)","14.254","Department Of Housing And Urban Development","May, 22 2009","HUD","https://www.cfda.gov/programs/14.254"
"Community Development Block Grants/State's program and Non-Entitlement Grants in Hawaii – (Recovery Act Funded)","14.255","Department Of Housing And Urban Development","May, 22 2009","HUD","https://www.cfda.gov/programs/14.255"
"Neighborhood Stabilization Program (Recovery Act Funded)","14.256","Department Of Housing And Urban Development","May, 22 2009","HUD","https://www.cfda.gov/programs/14.256"
"Homelessness Prevention and Rapid Re-Housing Program (Recovery Act Funded)","14.257","Department Of Housing And Urban Development","May, 22 2009","HUD","https://www.cfda.gov/programs/14.257"
"Tax Credit Assistance Program (Recovery Act Funded)","14.258","Department Of Housing And Urban Development","May, 22 2009","HUD","https://www.cfda.gov/programs/14.258"
"Single Family Property Disposition","14.311","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 2000","HUD","https://www.cfda.gov/programs/14.311"
"Dollar Home Sales","14.313","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 2000","HUD","https://www.cfda.gov/programs/14.313"
"Assisted Living Conversion for Eligible Multifamily Housing Projects","14.314","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 2000","HUD","https://www.cfda.gov/programs/14.314"
"Emergency Capital Repair Grants for Multifamily Housing Projects Designated for Occupancy","14.315","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 2006","HUD","https://www.cfda.gov/programs/14.315"
"Housing Counseling Training Program","14.316","Office Of Housing-federal Housing Commissioner, Department Of Housing And Urban Development","Jan, 01 2006","HUD","https://www.cfda.gov/programs/14.316"
"Section 8 Housing Assistance Payments Program Special Allocations (Recovery Act Funded)","14.317","Department Of Housing And Urban Development","May, 15 2009","HUD","https://www.cfda.gov/programs/14.317"
"Assisted Housing Stability and Energy and Green Retrofit Investments Program (Recovery Act Funded)","14.318","Department Of Housing And Urban Development","May, 13 2009","HUD","https://www.cfda.gov/programs/14.318"
"Equal Opportunity in Housing","14.400","Office Of Fair Housing And Equal Opportunity, Department Of Housing And Urban Development","Jan, 01 1969","HUD","https://www.cfda.gov/programs/14.400"
"Fair Housing Assistance Program_State and Local","14.401","Office Of Fair Housing And Equal Opportunity, Department Of Housing And Urban Development","Jan, 01 1980","HUD","https://www.cfda.gov/programs/14.401"
"Fair Housing Initiatives Program","14.408","Office Of Fair Housing And Equal Opportunity, Department Of Housing And Urban Development","Jan, 01 1988","HUD","https://www.cfda.gov/programs/14.408"
"Educaction and Outreach Initiatives","14.416","Office Of Fair Housing And Equal Opportunity, Department Of Housing And Urban Development","Jul, 21 2009","HUD","https://www.cfda.gov/programs/14.416"
"Fair Housing Organizaiton Initiatives ","14.417","Office Of Fair Housing And Equal Opportunity, Department Of Housing And Urban Development","Jul, 21 2009","HUD","https://www.cfda.gov/programs/14.417"
"Private Enforcement Initiatives ","14.418","Office Of Fair Housing And Equal Opportunity, Department Of Housing And Urban Development","Jul, 21 2009","HUD","https://www.cfda.gov/programs/14.418"
"General Research and Technology Activity","14.506","Office Of Policy Development And Research, Department Of Housing And Urban Development","Jan, 01 1972","HUD","https://www.cfda.gov/programs/14.506"
"Hispanic-Serving Institutions Assisting Communities","14.514","Office Of Policy Development And Research, Department Of Housing And Urban Development","Jan, 01 1999","HUD","https://www.cfda.gov/programs/14.514"
"Alaska Native/Native Hawaiian Institutions Assisting Communities","14.515","Office Of Policy Development And Research, Department Of Housing And Urban Development","Jan, 01 2000","HUD","https://www.cfda.gov/programs/14.515"
"Doctoral Dissertation Research Grants","14.516","Office Of Policy Development And Research, Department Of Housing And Urban Development","Jan, 01 2001","HUD","https://www.cfda.gov/programs/14.516"
"Early Doctoral Student Research Grants","14.517","Office Of Policy Development And Research, Department Of Housing And Urban Development","Jan, 01 2001","HUD","https://www.cfda.gov/programs/14.517"
"Tribal Colleges and Universities Program","14.519","Office Of Policy Development And Research, Department Of Housing And Urban Development","Jan, 01 2001","HUD","https://www.cfda.gov/programs/14.519"
"Historically Black Colleges and Universities Program","14.520","Office Of Policy Development And Research, Department Of Housing And Urban Development","Jan, 01 2002","HUD","https://www.cfda.gov/programs/14.520"
"Public and Indian Housing","14.850","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 1983","HUD","https://www.cfda.gov/programs/14.850"
"Lower Income Housing Assistance Program_Section 8 Moderate Rehabilitation","14.856","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 1992","HUD","https://www.cfda.gov/programs/14.856"
"Indian Community Development Block Grant Program","14.862","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 1994","HUD","https://www.cfda.gov/programs/14.862"
"Public and Indian Housing_Indian Loan Guarantee Program","14.865","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 1997","HUD","https://www.cfda.gov/programs/14.865"
"Demolition and Revitalization of Severely Distressed Public Housing","14.866","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 1997","HUD","https://www.cfda.gov/programs/14.866"
"Indian Housing Block Grants","14.867","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 1998","HUD","https://www.cfda.gov/programs/14.867"
"Title VI Federal Guarantees for Financing Tribal Housing Activities","14.869","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 1999","HUD","https://www.cfda.gov/programs/14.869"
"Resident Opportunity and Supportive Services - Service Coordinators","14.870","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 1999","HUD","https://www.cfda.gov/programs/14.870"
"Section 8 Housing Choice Vouchers","14.871","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 2000","HUD","https://www.cfda.gov/programs/14.871"
"Public Housing Capital Fund","14.872","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 2000","HUD","https://www.cfda.gov/programs/14.872"
"Native Hawaiian Housing Block Grants","14.873","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 2003","HUD","https://www.cfda.gov/programs/14.873"
"Loan Guarantees for Native Hawaiian Housing ","14.874","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 2004","HUD","https://www.cfda.gov/programs/14.874"
"Resident Opportunity and Supportive Services - Elderly and Persons with Disabilities","14.876","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 2006","HUD","https://www.cfda.gov/programs/14.876"
"Public Housing Family Self-Sufficiency under Resident Opportunity and Supportive Services","14.877","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 2006","HUD","https://www.cfda.gov/programs/14.877"
"Affordable Housing Development in Main Street Rejuvenation Projects","14.878","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 2006","HUD","https://www.cfda.gov/programs/14.878"
"Mainstream Vouchers","14.879","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 2006","HUD","https://www.cfda.gov/programs/14.879"
"Family Unification Program (FUP)","14.880","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 2008","HUD","https://www.cfda.gov/programs/14.880"
"Moving to Work Demonstration Program","14.881","Office Of Public And Indian Housing, Department Of Housing And Urban Development","Jan, 01 2008","HUD","https://www.cfda.gov/programs/14.881"
"Native American Housing Block Grants (Formula) Recovery Act Funded","14.882","Department Of Housing And Urban Development","May, 13 2009","HUD","https://www.cfda.gov/programs/14.882"
"Native Hawaiian Housing Block Grants (Recovery Act Funded)","14.883","Department Of Housing And Urban Development","May, 13 2009","HUD","https://www.cfda.gov/programs/14.883"
"Public Housing Capital Fund Competitive (Recovery Act Funded)","14.884","Department Of Housing And Urban Development","May, 13 2009","HUD","https://www.cfda.gov/programs/14.884"
"Public Housing Capital Fund Stimulus (Formula) Recovery Act Funded","14.885","Department Of Housing And Urban Development","May, 13 2009","HUD","https://www.cfda.gov/programs/14.885"
"Indian Community Development Block Grant Program  (Recovery Act Funded)","14.886","Department Of Housing And Urban Development","May, 13 2009","HUD","https://www.cfda.gov/programs/14.886"
"Native American Housing Block Grants (Competitive) Recovery Act Funded","14.887","Department Of Housing And Urban Development","May, 13 2009","HUD","https://www.cfda.gov/programs/14.887"
"Lead-Based Paint Hazard Control in Privately-Owned Housing","14.900","Office Of Healthy Homes And Lead Hazard Control, Department Of Housing And Urban Development","Jan, 01 1993","HUD","https://www.cfda.gov/programs/14.900"
